experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,0,701,1.2386690936819704,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,28,3.433017604991736e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,21,5.5046735951061256e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,0,701,0.8129168180713275,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,26,5.5051722156483727e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,0,701,1.0474396214406871,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,0,30,0.8768347296742117,stagnation
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,1,21,4.004835415082009e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,1,37,4.676272103067425e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,1,29,5.0566004593173955e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,0,26,1.1991703459621648,stagnation
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,0,40,1.0047918846991235,stagnation
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,1,20,3.791714929278326e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,1,33,4.3349989402662604e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,0,701,1.2701527717752026,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,9,0.14516129032258066,0,33,1.2526351937584481,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,19,6.724123159056446e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,17,3.8639511470331e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,17,7.639707324699054e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,16,3.985619364509169e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,20,7.766264292890134e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,17,5.7663475746014605e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,16,6.168961992379784e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,16,6.372368138029604e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,20,6.479645011489927e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,10,0.12195121951219512,1,22,5.184802669064984e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,18,4.5362453313626406e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,19,5.021926418513367e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,0,39,1.1052620633325736,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,23,6.95942203600033e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,28,7.499602697380378e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,0,31,1.5064679103395766,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,25,7.446519870204244e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,0,701,1.1081760035697144,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,24,6.611611613301004e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,11,0.13414634146341464,1,23,6.749840278654104e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,0,40,1.2093330394528439,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,1,25,5.76111217451257e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,0,701,1.0760175261531697,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,1,25,5.4906498910533227e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,1,24,6.624199244793921e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,0,34,1.0576234479713753,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,1,25,6.028809126149395e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,0,32,1.4062499166166325,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,0,46,0.8366513737636966,stagnation
weak_phase,SNIHT,gaussian,1,0.08,82,12,0.14634146341463414,1,27,6.137323373446033e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,18,9.371435408919485e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,0,34,1.35700936149087,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,17,7.486321241940916e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,42,7.539018007792778e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,24,8.584818140000459e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,37,8.716197604204881e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,27,8.605150299657831e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,0,31,1.5416929921698626,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,26,8.728464462604223e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,15,0.14563106796116504,1,26,6.903320602048835e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,30,6.98937781384111e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,0,701,1.4497412058835468,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,31,6.944702023493038e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,0,702,1.511409148656321,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,31,8.293613117502213e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,28,9.059907416401802e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,0,38,1.5895277303520001,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,28,7.394114725437748e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,19,7.263449513845209e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,16,0.1553398058252427,1,26,8.363248309106372e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,1,47,7.923217816827019e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,1,21,8.42322219593325e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,0,42,1.4763937117224777,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,0,43,1.3841495781854865,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,1,29,8.958109850242972e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,0,47,1.3835972903913967,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,0,38,1.376636986780119,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,1,34,9.605054707385802e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,0,44,1.5346362957010424,stagnation
weak_phase,SNIHT,gaussian,1,0.1,103,17,0.1650485436893204,1,31,7.051851447897272e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,1,49,0.00011171665853867552,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,1,63,0.00011580908927987763,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,1,37,0.00011842123689230663,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,1,30,0.000113473935427623,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,0,39,1.7196007882098285,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,0,701,1.9514566382444933,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,0,42,1.5596327915247017,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,0,43,1.792775673830856,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,1,45,0.00011446391718595458,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,29,0.18831168831168832,0,41,1.586449660787978,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,47,0.00011805194367656948,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,43,0.00011435944870863079,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,43,0.000142200278269904,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,31,0.00013053197923034232,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,0,46,1.4985973294402304,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,30,0.00011779521236067838,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,0,701,1.609597482227083,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,37,0.00010518524225251825,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,1,29,0.00010998066028121031,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,30,0.19480519480519481,0,37,2.0253214415204264,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,1,33,0.00010173749793444315,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,42,1.6679510747865434,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,44,1.6658441231582695,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,1,36,0.0001324885650548104,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,36,1.927609595633237,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,41,1.8908156565944823,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,1,35,0.00011031608041722788,residual_small
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,42,1.5629771640241514,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,41,1.775111904724497,stagnation
weak_phase,SNIHT,gaussian,1,0.15,154,31,0.2012987012987013,0,35,1.9227159040099253,stagnation
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,27,0.00014113887989113417,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,32,0.00016641151466519375,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,36,0.00015830135887556556,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,27,0.00019598888624132953,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,38,0.00017701398340105257,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,38,0.00016210556640517277,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,31,0.00017834779588596285,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,28,0.00017545434728890428,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,54,0.0001654495533777192,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,37,0.18048780487804877,1,28,0.000186696867530495,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,27,0.00014820833077171345,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,33,0.00016229373171140418,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,39,0.00017307247537124147,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,32,0.00016420514863692105,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,49,0.00018759891912392912,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,33,0.00019018030213276076,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,0,54,1.7651965951954331,stagnation
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,0,37,1.8651591732696124,stagnation
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,33,0.00019005326347840248,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,38,0.18536585365853658,1,39,0.00015851994905424907,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,0,40,1.9670793945562453,stagnation
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,29,0.0001582759149046206,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,40,0.00018180387327062825,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,35,0.0001985489714398895,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,28,0.00018803808499453598,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,31,0.00016268144610709237,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,0,41,1.9674287938838488,stagnation
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,42,0.00014397451603793154,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,1,32,0.00014290690154133574,residual_small
weak_phase,SNIHT,gaussian,1,0.2,205,39,0.1902439024390244,0,44,2.0409078846989637,stagnation
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,0,41,2.0707118678591843,stagnation
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,0,42,2.113916280830537,stagnation
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,39,0.00019362129499677486,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,42,0.0002367975168015176,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,65,0.0002348736333340657,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,0,39,2.3782420844606804,stagnation
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,0,57,1.8962048614782527,stagnation
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,61,0.0002421763260980213,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,48,0.00022034488472537201,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,57,0.22265625,1,35,0.0001976327858679349,residual_small
weak_phase,SNIHT,gaussian,1,0.25,256,58,0.2265625,1,49,0.00023683004472722637,residual_small
