algorithm,bound_model,delta,rho,mu_at_rho
SNHTP,surrogate_arip_v1,0.04,3.03611159324646e-05,0.9998420228291066
SNHTP,surrogate_arip_v1,0.05,4.0240585803985596e-05,0.999889069973036
SNHTP,surrogate_arip_v1,0.06,5.0768256187438965e-05,0.9999520647984513
SNHTP,surrogate_arip_v1,0.07,6.188452243804932e-05,0.9999247933396057
SNHTP,surrogate_arip_v1,0.08,7.355958223342896e-05,0.9999526212613311
SNHTP,surrogate_arip_v1,0.09,8.575618267059326e-05,0.9999615571513027
SNHTP,surrogate_arip_v1,0.1,9.845197200775146e-05,0.9999874395951057
SNHTP,surrogate_arip_v1,0.11,0.00011161714792251587,0.9999696878192326
SNHTP,surrogate_arip_v1,0.12,0.00012524425983428955,0.9999931696185267
SNHTP,surrogate_arip_v1,0.13,0.00013930350542068481,0.9999716619494619
SNHTP,surrogate_arip_v1,0.14,0.00015379488468170166,0.9999915423587805
SNHTP,surrogate_arip_v1,0.15,0.00016869604587554932,0.999999570622028
SNHTP,surrogate_arip_v1,0.16,0.00018399208784103394,0.9999857971870522
SNHTP,surrogate_arip_v1,0.17,0.00019968301057815552,0.9999973638607649
SNHTP,surrogate_arip_v1,0.18,0.0002157464623451233,0.9999840754958571
SNHTP,surrogate_arip_v1,0.19,0.00023218244314193726,0.9999818541869269
SNHTP,surrogate_arip_v1,0.2,0.0002489835023880005,0.9999919125243825
SNHTP,surrogate_arip_v1,0.21,0.00026613473892211914,0.999991700078301
SNHTP,surrogate_arip_v1,0.22,0.0002836287021636963,0.9999831596457416
SNHTP,surrogate_arip_v1,0.23,0.00030146539211273193,0.9999858871543984
SNHTP,surrogate_arip_v1,0.24,0.00031963735818862915,0.999996052368309
SNHTP,surrogate_arip_v1,0.25,0.0003381296992301941,0.9999927093496628
SNHTP,surrogate_arip_v1,0.26,0.00035694241523742676,0.9999909880568607
SNHTP,surrogate_arip_v1,0.27,0.0003760680556297302,0.9999870601133862
SNHTP,surrogate_arip_v1,0.28,0.0003955066204071045,0.9999919500822851
SNHTP,surrogate_arip_v1,0.29,0.0004152432084083557,0.9999863266394905
SNHTP,surrogate_arip_v1,0.3,0.0004352852702140808,0.999993827628402
SNHTP,surrogate_arip_v1,0.31,0.00045561790466308594,0.9999955280744988
SNHTP,surrogate_arip_v1,0.32,0.0004762411117553711,0.9999997059333254
SNHTP,surrogate_arip_v1,0.33,0.0004971399903297424,0.9999897577931427
SNHTP,surrogate_arip_v1,0.34,0.0005183294415473938,0.9999961493093381
SNHTP,surrogate_arip_v1,0.35,0.0005397871136665344,0.9999908090401105
SNHTP,surrogate_arip_v1,0.36,0.0005615204572677612,0.9999909420300724
SNHTP,surrogate_arip_v1,0.37,0.0005835220217704773,0.9999912169503329
SNHTP,surrogate_arip_v1,0.38,0.0006057918071746826,0.9999964594831098
SNHTP,surrogate_arip_v1,0.39,0.0006283149123191833,0.9999922713243568
SNHTP,surrogate_arip_v1,0.4,0.0006510987877845764,0.9999927590027844
SNHTP,surrogate_arip_v1,0.41,0.0006741359829902649,0.9999928644429841
SNHTP,surrogate_arip_v1,0.42,0.0006974264979362488,0.9999963769193091
SNHTP,surrogate_arip_v1,0.43,0.0007209628820419312,0.9999984812027962
SNHTP,surrogate_arip_v1,0.44,0.0007447376847267151,0.999994882912616
SNHTP,surrogate_arip_v1,0.45,0.0007687583565711975,0.9999967805766004
SNHTP,surrogate_arip_v1,0.46,0.0007930174469947815,0.9999993644619051
SNHTP,surrogate_arip_v1,0.47,0.0008175075054168701,0.9999983230185422
SNHTP,surrogate_arip_v1,0.48,0.0008422285318374634,0.9999966474935975
SNHTP,surrogate_arip_v1,0.49,0.0008671805262565613,0.9999969315844023
SNHTP,surrogate_arip_v1,0.5,0.0008923560380935669,0.999994946474836
SNHTP,surrogate_arip_v1,0.51,0.0009177625179290771,0.9999994706596408
SNHTP,surrogate_arip_v1,0.52,0.0009433850646018982,0.9999999076636154
SNHTP,surrogate_arip_v1,0.53,0.00096922367811203,0.9999986621450718
SNHTP,surrogate_arip_v1,0.54,0.0009952783584594727,0.9999978505441179
SNHTP,surrogate_arip_v1,0.55,0.001021549105644226,0.9999993345562866
SNHTP,surrogate_arip_v1,0.56,0.0010480284690856934,0.999999236479594
SNHTP,surrogate_arip_v1,0.57,0.0010747164487838745,0.9999994035734014
SNHTP,surrogate_arip_v1,0.58,0.0011016055941581726,0.9999962262104644
