experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,2,0.9,116,14,0.1206896551724138,1,13,0.0006643844272863997,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,14,0.1206896551724138,0,16,0.0008213535397660192,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,14,0.1206896551724138,0,15,0.0008643678798447316,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,15,0.12931034482758622,0,16,0.0007304267531187134,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,15,0.12931034482758622,1,14,0.0005629933767835864,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,15,0.12931034482758622,1,13,0.0006254667807400836,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,15,0.12931034482758622,0,17,0.0007437169404687538,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,16,0.13793103448275862,0,12,0.0008655457859100651,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,16,0.13793103448275862,0,19,0.0008445637837630942,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,16,0.13793103448275862,1,14,0.000646420621624912,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,16,0.13793103448275862,0,16,0.0008085247326125392,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,1,0.05,1,1,6.04570419602415e-16,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,1,0.05,0,17,1.4627852437180202,stagnation
weak_phase,SNIHT,gaussian,5,0.15,20,1,0.05,1,1,1.239253232683512e-15,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,1,0.05,1,1,3.7888949258876507e-16,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,2,0.1,1,12,0.00010117819858034554,residual_small
